.claude/skills/bankai-manifest/	153	1	desc:Y	trig:Y
.claude/skills/bg/	65	1	desc:Y	trig:Y
.claude/skills/brainstorming/	164	0	desc:Y	trig:N
.claude/skills/claude-codex-capability-bridge/	152	0	desc:Y	trig:N
.claude/skills/claude-output-lane/	134	1	desc:Y	trig:Y
.claude/skills/codebase-to-course/	239	3	desc:Y	trig:Y
.claude/skills/compact-optimizer/	247	1	desc:Y	trig:Y
.claude/skills/cross-reference-navigation/	72	1	desc:Y	trig:Y
.claude/skills/design-master/	208	2	desc:Y	trig:Y
.claude/skills/design-source-pack/	77	1	desc:Y	trig:Y
.claude/skills/diagnose/	117	0	desc:Y	trig:N
.claude/skills/dispatching-parallel-agents/	182	0	desc:Y	trig:N
.claude/skills/end-of-transmission/	602	1	desc:Y	trig:Y
.claude/skills/executing-plans/	78	1	desc:Y	trig:N
.claude/skills/execution-domain-core/	162	10	desc:Y	trig:Y
.claude/skills/extraction-sprint/	212	1	desc:Y	trig:Y
.claude/skills/failure-evolution-loop/	179	10	desc:Y	trig:Y
.claude/skills/frontend-design/	67	1	desc:Y	trig:Y
.claude/skills/geass-lock/	120	1	desc:Y	trig:Y
.claude/skills/gitnexus-debugging/	89	0	desc:Y	trig:N
.claude/skills/gitnexus-impact-analysis/	97	0	desc:Y	trig:N
.claude/skills/gitnexus-refactoring/	121	0	desc:Y	trig:N
.claude/skills/gitnexus/	30	1	desc:Y	trig:Y
.claude/skills/haki-intent/	102	1	desc:Y	trig:Y
.claude/skills/izanagi-simulator/	119	1	desc:Y	trig:Y
.claude/skills/nen-phase-detector/	92	1	desc:Y	trig:Y
.claude/skills/non-destructive-infinity-guard/	167	10	desc:Y	trig:Y
.claude/skills/openai-codex-workflow/	36	1	desc:Y	trig:Y
.claude/skills/oracle-memory/	33	0	desc:Y	trig:Y
.claude/skills/organ-discovery-precision-gate/	49	1	desc:Y	trig:Y
.claude/skills/organ-filing-assessor/	64	1	desc:Y	trig:Y
.claude/skills/organ-formula-foundry-bakeoff/	80	1	desc:Y	trig:Y
.claude/skills/organ-formula-foundry/	75	1	desc:Y	trig:Y
.claude/skills/organ-lane-telemetry-cockpit/	52	1	desc:Y	trig:Y
.claude/skills/organ-openprocess-pool/	73	1	desc:Y	trig:Y
.claude/skills/organ-yuri-decode/	46	1	desc:Y	trig:Y
.claude/skills/organ-yuri-nerve/	62	1	desc:Y	trig:Y
.claude/skills/parallel-clone-orchestrator/	163	10	desc:Y	trig:Y
.claude/skills/pattern-mirror-core/	163	10	desc:Y	trig:Y
.claude/skills/plan-review/	67	1	desc:Y	trig:Y
.claude/skills/probabilistic-decision-core/	250	1	desc:Y	trig:Y
.claude/skills/prompt-engineering/	88	0	desc:Y	trig:N
.claude/skills/quantum-hypothesis-simulation/	120	1	desc:Y	trig:Y
.claude/skills/receiving-code-review/	213	0	desc:Y	trig:N
.claude/skills/remotion-motion-design/	137	1	desc:Y	trig:Y
.claude/skills/requesting-code-review/	103	0	desc:Y	trig:N
.claude/skills/research-artifact-factory/	79	1	desc:Y	trig:Y
.claude/skills/sharingan/	679	1	desc:Y	trig:Y
.claude/skills/subagent-driven-development/	279	0	desc:Y	trig:N
.claude/skills/systematic-debugging/	296	0	desc:Y	trig:N
.claude/skills/tdd/	109	0	desc:Y	trig:N
.claude/skills/test-driven-development/	371	0	desc:Y	trig:N
.claude/skills/tokenmaxxing/	120	1	desc:Y	trig:Y
.claude/skills/using-git-worktrees/	215	0	desc:Y	trig:N
.claude/skills/verification-before-completion/	154	1	desc:Y	trig:Y
